"model_index","set","tau","omega","alpha1","beta1","shape","unc_var","persistence","backtest","value","one_sided"
1,1,2.5,0.01,0.01,0.94,5,0.2,0.95,"er_pvalue_twosided_simple",0.117,FALSE
2,1,2.5,0.01,0.02,0.93,5,0.2,0.95,"er_pvalue_twosided_simple",0.0755,FALSE
3,1,2.5,0.01,0.03,0.92,5,0.2,0.95,"er_pvalue_twosided_simple",0.062,FALSE
4,1,2.5,0.01,0.04,0.91,5,0.2,0.95,"er_pvalue_twosided_simple",0.0586,FALSE
5,1,2.5,0.01,0.05,0.9,5,0.2,0.95,"er_pvalue_twosided_simple",0.0563,FALSE
6,1,2.5,0.01,0.06,0.89,5,0.2,0.95,"er_pvalue_twosided_simple",0.0542,FALSE
7,1,2.5,0.01,0.07,0.88,5,0.2,0.95,"er_pvalue_twosided_simple",0.0531,FALSE
8,1,2.5,0.01,0.08,0.87,5,0.2,0.95,"er_pvalue_twosided_simple",0.0524,FALSE
9,1,2.5,0.01,0.09,0.86,5,0.2,0.95,"er_pvalue_twosided_simple",0.0518,FALSE
10,1,2.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.052,FALSE
11,1,2.5,0.01,0.11,0.84,5,0.2,0.95,"er_pvalue_twosided_simple",0.0512,FALSE
12,1,2.5,0.01,0.12,0.83,5,0.2,0.95,"er_pvalue_twosided_simple",0.0521,FALSE
13,1,2.5,0.01,0.13,0.82,5,0.2,0.95,"er_pvalue_twosided_simple",0.0523,FALSE
14,1,2.5,0.01,0.14,0.81,5,0.2,0.95,"er_pvalue_twosided_simple",0.0528,FALSE
15,1,2.5,0.01,0.15,0.8,5,0.2,0.95,"er_pvalue_twosided_simple",0.0549,FALSE
16,1,2.5,0.01,0.16,0.79,5,0.2,0.95,"er_pvalue_twosided_simple",0.0542,FALSE
17,1,2.5,0.01,0.17,0.78,5,0.2,0.95,"er_pvalue_twosided_simple",0.0555,FALSE
18,1,2.5,0.01,0.18,0.77,5,0.2,0.95,"er_pvalue_twosided_simple",0.0564,FALSE
19,1,2.5,0.01,0.19,0.76,5,0.2,0.95,"er_pvalue_twosided_simple",0.0607,FALSE
20,1,2.5,0.01,0.2,0.75,5,0.2,0.95,"er_pvalue_twosided_simple",0.0631,FALSE
21,2,2.5,5e-04,0.1,0.85,5,0.01,0.95,"er_pvalue_twosided_simple",0.6089,FALSE
