"seed","phi","sample_size","model","equation","parameter","value"
1,0,1000,"Auxiliary","Q","Intercept",-0.178404131465147
1,0,1000,"Auxiliary","Q","Slope",0.888615927481726
1,0,1000,"Auxiliary","ES","Intercept",-0.0918977587906866
1,0,1000,"Auxiliary","ES","Slope",0.963701031487809
1,0,1000,"Strict","Q","Intercept",-0.178394360593321
1,0,1000,"Strict","Q","Slope",0.74501362535771
1,0,1000,"Strict","ES","Intercept",-0.0895086517609669
1,0,1000,"Strict","ES","Slope",0.965638023321571
2,0,1000,"Auxiliary","Q","Intercept",-0.449478316686655
2,0,1000,"Auxiliary","Q","Slope",0.417797500573349
2,0,1000,"Auxiliary","ES","Intercept",-0.654201230631753
2,0,1000,"Auxiliary","ES","Slope",0.255564712170563
2,0,1000,"Strict","Q","Intercept",-0.44944520445937
2,0,1000,"Strict","Q","Slope",0.350303221816516
2,0,1000,"Strict","ES","Intercept",-0.656257681643614
2,0,1000,"Strict","ES","Slope",0.253633433301151
3,0,1000,"Auxiliary","Q","Intercept",-0.00401097755133706
3,0,1000,"Auxiliary","Q","Slope",1.01166634066332
3,0,1000,"Auxiliary","ES","Intercept",0.0282666425061813
3,0,1000,"Auxiliary","ES","Slope",1.03265444442303
3,0,1000,"Strict","Q","Intercept",-0.00395441279448572
3,0,1000,"Strict","Q","Slope",0.848207639816647
3,0,1000,"Strict","ES","Intercept",0.0291552548046512
3,0,1000,"Strict","ES","Slope",1.03329223964675
4,0,1000,"Auxiliary","Q","Intercept",-0.410995675116061
4,0,1000,"Auxiliary","Q","Slope",0.529588181384654
4,0,1000,"Auxiliary","ES","Intercept",-0.384428735748631
4,0,1000,"Auxiliary","ES","Slope",0.589784523823056
4,0,1000,"Strict","Q","Intercept",-0.411100454004488
4,0,1000,"Strict","Q","Slope",0.443897566036143
4,0,1000,"Strict","ES","Intercept",-0.382430563038034
4,0,1000,"Strict","ES","Slope",0.592168570715499
5,0,1000,"Auxiliary","Q","Intercept",-0.172232908729068
5,0,1000,"Auxiliary","Q","Slope",0.812375141051127
5,0,1000,"Auxiliary","ES","Intercept",-0.174022820936456
5,0,1000,"Auxiliary","ES","Slope",0.862434431505936
5,0,1000,"Strict","Q","Intercept",-0.172208186555811
5,0,1000,"Strict","Q","Slope",0.68110420562882
5,0,1000,"Strict","ES","Intercept",-0.174615202682754
5,0,1000,"Strict","ES","Slope",0.861316169104261
6,0,1000,"Auxiliary","Q","Intercept",0.145062511041491
6,0,1000,"Auxiliary","Q","Slope",1.15035905892508
6,0,1000,"Auxiliary","ES","Intercept",-0.105561816206451
6,0,1000,"Auxiliary","ES","Slope",0.926542456691463
6,0,1000,"Strict","Q","Intercept",0.145069132558396
6,0,1000,"Strict","Q","Slope",0.964442524560648
6,0,1000,"Strict","ES","Intercept",-0.104597008373668
6,0,1000,"Strict","ES","Slope",0.92728191606332
7,0,1000,"Auxiliary","Q","Intercept",0.0418782845590477
7,0,1000,"Auxiliary","Q","Slope",1.02902912968872
7,0,1000,"Auxiliary","ES","Intercept",0.0642026096084558
7,0,1000,"Auxiliary","ES","Slope",1.01576201885586
7,0,1000,"Strict","Q","Intercept",0.041881447259172
7,0,1000,"Strict","Q","Slope",0.862718729481208
7,0,1000,"Strict","ES","Intercept",0.0644455599285647
7,0,1000,"Strict","ES","Slope",1.01566496042254
8,0,1000,"Auxiliary","Q","Intercept",-0.226863773105912
8,0,1000,"Auxiliary","Q","Slope",0.776145903879856
8,0,1000,"Auxiliary","ES","Intercept",-0.277634175690162
8,0,1000,"Auxiliary","ES","Slope",0.760320458260902
8,0,1000,"Strict","Q","Intercept",-0.226862689078377
8,0,1000,"Strict","Q","Slope",0.650704319952155
8,0,1000,"Strict","ES","Intercept",-0.275564985291776
8,0,1000,"Strict","ES","Slope",0.762451334422666
9,0,1000,"Auxiliary","Q","Intercept",0.233217195649873
9,0,1000,"Auxiliary","Q","Slope",1.25216408855813
9,0,1000,"Auxiliary","ES","Intercept",0.0789240771711621
9,0,1000,"Auxiliary","ES","Slope",1.04666495219984
9,0,1000,"Strict","Q","Intercept",0.23321729582109
9,0,1000,"Strict","Q","Slope",1.04978729723811
9,0,1000,"Strict","ES","Intercept",0.0791655742007862
9,0,1000,"Strict","ES","Slope",1.04700223662463
10,0,1000,"Auxiliary","Q","Intercept",0.263622336275981
